序号,城市,区县,乡/镇,乡/镇人口,村名,【村组基本信息】,,,,,,物资需求,,,,,,,,信息渠道,信息要点,备注,信息汇总人,信息更新时间
57,,,,,黄潭村,,,,,,与镇政府联接的国道中断,,,,,,,,,,,,康子,2024/06/19/
58,,,,,觉坊村,,,,,,,,,,,,,,,,,,,
59,,,,,蓝溪村,,,,,,,,,,,,,,,,,,,
60,,,,,龙丰村,,,,,,,,,,,,,,,,,,,
61,,,,,载厚村,,,,,,,,,,,,,,,,,,,
62,,,,,岩华村,,,,,,,,,,,,,,,,,,,
63,,,,,白水村,,,,,,,,,,,,,,,,,,,
64,,,,,冯石村,,,,,,,,,,,,,,,,,,,
65,,,稔田镇,24985,太湖村,,,,,,,,,,,,,,,,,,,
66,,,,,化厚村,,,,,,,,,,,,,,,,,,,
67,,,,,祝田村,,,,,,,,,,,,,,,,,,,
68,,,,,石牌村,,,,,,,,,,,,,,,,,,,
69,,,,,大燕村,,,,,,,,,,,,,,,,,,,
70,,,,,南坑村,,,,,,,,,,,,,,,,,,,
71,,,,,叶坑村,,,,,,,,,,,,,,,,,,,
72,,,,,蔡坑村,,,,,,,,,,,,,,,,,,,
73,,,,,官田村,,,,,,,,,,,,,,,,,,,
74,,,,,梅镇村,,,,,,,,,,,,,,,,,,,
75,,,,,长滩村,,,,,,,,,,,,,,,,,,,
76,,,,,埔头村,,,,,,,,,,,,,,,,,,,
77,,,,,连四村,,,,,,,,,,,,,,,,,,,
78,,,,,丰朗村,,,,,,,,,,,,,,,,,,,
79,,,,,楼岗村,,,,,,,,,,,,,,,,,,,
80,,,,,枫山村,,,,,,,,,,,,,,,,,,,
81,,,,,镇歧村,,,,,,,,,,,,,,,,,,,
82,,,,,歧坑村,,,,,,,,,,,,,,,,,,,
83,,,白砂镇,26512,中洋村,,,,,,,,,,,,,,,,,,,
84,,,,,梧岗村,,,,,,,,,,,,,,,,,,,
85,,,,,梧田村,,,,,,,,,,,,,,,,,,,
86,,,,,塘丰村,,,,,,,,,,,,,,,,,,,
87,,,,,大田村,,,,,,,,,,,,,,,,,,,
88,,,,,大金村,,,,,,,,,,,,,,,,,,,
89,,,,,扶福村,,,,,,,,,,,,,,,,,,,
90,,,,,朋新村,,,,,,,,,,,,,,,,,,,
91,,,,,樟黄村,,,,,,,,,,,,,,,,,,,
92,,,,,岭背村,,,,,,,,,,,,,,,,,,,
93,,,,,大科村,,,,,,,,,,,,,,,,,,,
94,,,,,长锦村,,,,,,,,,,,,,,,,,,,
95,,,,,丰源村,,,,,,,,,,,,,,,,,,,
96,,,,,上早康村,,,,,,,,,,,,,,,,,,,
97,,,,,下早康村,,,,,,,,,,,,,,,,,,,
98,,,,,碧沙村,,,,,,,,,,,,,,,,,,,
99,,,,,官洋村,,,,,,,,,,,,,,,,,,,
100,,,,,茜黄村,,,,,,,,,,,,,,,,,,,
101,,,,,嫩洋村,,,,,,,,,,,,,,,,,,,
102,,,,,东塘村,,,,,,,,,,,,,,,,,,,
103,,,,,军桥村,,,,,,,,,,,,,,,,,,,
104,,,,,洋乾村,,,,,,,,,,,,,,,,,,,
105,,,古田镇,20040,吴地社区,,,,,,,,,,,,,,,,,,,
106,,,,,苏家陂村,,,,,,已通路,,,,,,,,,,,,,
107,,,,,下郭车村,,,,,,,,,,,,,,,,,,,
108,,,,,上郭车村,,,,,,,,,,,,,,,,,,,
109,,,,,模坑村,,,,,,,,,,,,,,,,,,,
110,,,,,文元村,,,,,,,,,,,,,,,,,,,
111,,,,,荣屋村,,,,,,,,,,,,,,,,,,,
112,,,,,赖坊村,,,,,,,,,,,,,,,,,,,
113,,,,,上洋村,,,,,,,,,,,,,,,,,,,
114,,,,,五龙村,,,,,,,,,,,,,,,,,,,
115,,,,,溪背村,,,,,,,,,,,,,,,,,,,
116,,,,,八甲村,,,,,,,,,,,,,,,,,,,
117,,,,,竹岭村,,,,,,,,,,,,,,,,,,,
118,,,,,金湖村,,,,,,,,,,,,,,,,,,,
119,,,,,外洋村,,,,,,,,,,,,,,,,,,,
120,,,,,新生村,,,,,,,,,,,,,,,,,,,
121,,,,,赤坑村,,,,,,,,,,,,,,,,,,,
122,,,,,苎园村,,,,,,,,,,,,,,,,,,,
123,,,,,石笋村,,,,,,,,,,,,,,,,,,,
124,,,,,洋稠村,,,,,,,,,,,,,,,,,,,
125,,,,,大源村,,,,,,,,,,,,,,,,,,,
126,,,,,上福村,,,,,,,,,,,,,,,,,,,
127,,,,,金屏村,,,,,,,,,,,,,,,,,,,
128,,,,,古炉村,,,,,,,,,,,,,,,,,,,
129,,,,,马坊村,,,,,,,,,,,,,,,,,,,
130,,,,,兴隆村,,,,,,,,,,,,,,,,,,,
131,,,,,梨岭村,,,,,,,,,,,,,,,,,,,
132,,,,,桂和村,,,,,,,,,,,,,,,,,,,
133,,,,,蛟潭村,,,,,,,,,,,,,,,,,,,
134,,,,,大斜村,,,,,,,,,,,,,,,,,,,
135,,,,,云辉村,,,,,,,,,,,,,,,,,,,
136,,,才溪镇,30284,才民村,,,,,,,,,,,,,,,,,,,
137,,,,,溪北村,,,,,,,,,,,,,,,,,,,
138,,,,,岭和村,,,,,,,,,,,,,,,,,,,
139,,,,,中兴村,,,,,,,,,,,,,,,,,,,
140,,,,,溪东村,,,,,,,,,,,,,,,,,,,
141,,,,,溪西村,,,,,,,,,,,,,,,,,,,
142,,,,,下才村,,,,,,,,,,,,,,,,,,,
143,,,,,才溪村,,,,,,,,,,,,,,,,,,,
144,,,,,曾坑村,,,,,,,,,,,,,,,,,,,
145,,,,,大贵村,,,,,,,,,,,,,,,,,,,
146,,,,,下王村,,,,,,,,,,,,,,,,,,,
147,,,,,陈坑村,,,,,,,,,,,,,,,,,,,
148,,,,,荣石村,,,,,,,,,,,,,,,,,,,
149,,,,,黄竹村,,,,,,,,,,,,,,,,,,,
150,,,南阳镇,49337,双溪村,,,,,,,,,,,,,,,,,,,
151,,,,,射山村,,,,,,,,,,,,,,,,,,,
152,,,,,豪东村,,,,,,,,,,,,,,,,,,,
153,,,,,矶头村,,,,,,,,,,,,,,,,,,,
154,,,,,下车村,,,,,,,,,,,,,,,,,,,
155,,,,,马洋洞村,,,,,,,,,,,,,,,,,,,
156,,,,,涂坑村,,,,,,,,,,,,,,,,,,,
157,,,,,南坑村,,,,,,,,,,,,,,,,,,,
158,,,,,南阳村,,,,,,,,,,,,,,,,,,,
159,,,,,官余村,,,,,,,,,,,,,,,,,,,
160,,,,,新联村,,,,,,,,,,,,,,,,,,,
161,,,,,罗坊村,,,,,,,,,,,,,,,,,,,
162,,,,,黄坑村,,,,,,,,,,,,,,,,,,,
163,,,,,茶溪村,,,,,,,,,,,,,,,,,,,
164,,,,,联义村,,,,,,,,,,,,,,,,,,,
165,,,,,朱斜村,,,,,,,,,,,,,,,,,,,
166,,,,,日新村,,,,,,,,,,,,,,,,,,,
167,,,,,香塔村,,,,,,,,,,,,,,,,,,,
168,,,,,南岭村,,,,,,,,,,,,,,,,,,,
169,,,,,联山村,,,,,,,,,,,,,,,,,,,
170,,,蛟洋镇,25950,蛟洋村,,,,,,,,,,,,,,,,,,,
171,,,,,塘厦村,,,,,,,,,,,,,,,,,,,
172,,,,,丘坊村,,,,,,,,,,,,,,,,,,,
173,,,,,华家村,,,,,,,,,,,,,,,,,,,
174,,,,,再兴村,,,,,,,,,,,,,,,,,,,
175,,,,,中村村,,,,,,,,,,,,,,,,,,,
176,,,,,坪上村,,,,,,,,,,,,,,,,,,,
177,,,,,再嘉村,,,,,,,,,,,,,,,,,,,
178,,,,,邹坑村,,,,,,,,,,,,,,,,,,,
179,,,,,文都村,,,,,,,,,,,,,,,,,,,
180,,,,,苏坑村,,,,,,,,,,,,,,,,,,,
181,,,,,丰年村,,,,,,,,,,,,,,,,,,,
182,,,,,贵竹村,,,,,,,,,,,,,,,,,,,
183,,,,,秋竹村,,,,,,,,,,,,,,,,,,,
184,,,,,小和村,,,,,,,,,,,,,,,,,,,
185,,,,,梅坝村,,,,,,,,,,,,,,,,,,,
186,,,,,坪埔村,,,,,,,,,,,,,,,,,,,
187,,,,,下道湖村,,,,,,,,,,,,,,,,,,,
188,,,,,崇头村,,,,,,,,,,,,,,,,,,,
189,,,,,东乾村,,,,,,,,,,,,,,,,,,,
190,,,,,陈坊村,,,,,,,,,,,,,,,,,,,
191,,,,,文地村,,,,,,,,,,,,,,,,,,,
192,,,,,杨梅坑村,,,,,,,,,,,,,,,,,,,
193,,,,,达理村,,,,,,,,,,,,,,,,,,,
194,,,,,桃源村,,,,,,,,,,,,,,,,,,,
195,,,旧县镇,29755,新坊村,,,,,,,,,,,,,,,,,,,
196,,,,,石院村,,,,,,,,,,,,,,,,,,,
197,,,,,扁山村,,,,,,,,,,,,,,,,,,,
198,,,,,福村村,,,,,,,,,,,,,,,,,,,
199,,,,,河东村,,,,,,,,,,,,,,,,,,,
200,,,,,龙溪村,,,,,,,,,,,,,,,,,,,
201,,,,,全坊村,,,,,,,,,,,,,,,,,,,
202,,,,,坝上村,,,,,,,,,,,,,,,,,,,
203,,,,,河西村,,,,,,,,,,,,,,,,,,,
204,,,,,尧埔村,,,,,,,,,,,,,,,,,,,
205,,,,,兰田村,,,,,,,,,,,,,,,,,,,
206,,,,,铁场村,,,,,,,,,,,,,,,,,,,
207,,,,,铁东村,,,,,,,,,,,,,,,,,,,
208,,,,,石圳村,,,,,,,,,,,,,,,,,,,
209,,,,,角龙村,,,,,,,,,,,,,,,,,,,
210,,,,,迳美村,,,,,,,,,,,,,,,,,,,
211,,,,,谷坑村,,,,,,,,,,,,,,,,,,,
212,,,,,梅溪村,,,,,,,,,,,,,,,,,,,
213,,,,,水东村,,,,,,,,,,,,,,,,,,,
214,,,,,新康村,,,,,,,,,,,,,,,,,,,
215,,,湖洋镇,30100,碧田村,,,,,,,,,,,,,,,,,,,
216,,,,,涧头村,,,,,,,,,,,,,,,,,,,
217,,,,,上埔村,,,,,,,,,,,,,,,,,,,
218,,,,,水埔村,,,,,,,,,,,,,,,,,,,
219,,,,,元丰村,,,,,,,,,,,,,,,,,,,
220,,,,,加庄村,,,,,,,,,,,,,,,,,,,
221,,,,,福全村,,,,,,,,,,,,,,,,,,,
222,,,,,寨背村,,,,,,,,,,,,,,,,,,,
223,,,,,三田村,,,,,,,,,,,,,,,,,,,
224,,,,,通桥村,,,,,,,,,,,,,,,,,,,
225,,,,,岩头村,,,,,,,,,,,,,,,,,,,
226,,,,,乃康村,,,,,,,,,,,,,,,,,,,
227,,,,,湖洋村,,,,,,,,,,,,,,,,,,,
228,,,,,文光村,,,,,,,,,,,,,,,,,,,
229,,,,,古楼村,,,,,,,,,,,,,,,,,,,
230,,,,,濑溪村,,,,,,,,,,,,,,,,,,,
231,,,,,新坊村,,,,,,,,,,,,,,,,,,,
232,,,,,五坊村,,,,,,,,,,,,,,,,,,,
233,,,,,龙山村,,,,,,,,,,,,,,,,,,,
234,,,,,上罗村,,,,,,,,,,,,,,,,,,,
235,,,,,太平村,,,,,,,,,,,,,,,,,,,
236,,,,,新山村,,,,,,,,,,,,,,,,,,,
237,,,溪口镇,12750,云山村,,,,,,,,,,,,,,,,,,,
238,,,,,石铭村,,,,,,,,,,,,,,,,,,,
239,,,,,锦坊村,,,,,,,,,,,,,,,,,,,
240,,,,,当丰村,,,,,,,,,,,,,,,,,,,
241,,,,,陈屋村,,,,,,,,,,,,,,,,,,,
242,,,,,大洋坝村,,,,,,,,,,,,,,,,,,,
243,,,,,三溪村,受伤人员已送往医院就医,,,,,,,,,,,,,,,,,,
244,,,,,双华村,,,,,,,,,,,,,,,,,,,
245,,,,,大丰村,11名被困群众已被解救,,,,,新塘村内的两处桥梁被冲垮,,,,,,,,,bilibili,,,康子,2024年6月19日晚上 22点11分
246,,,,,大厚村,,,,,,,,,,,,,,,,,,,
247,,,,,大连村,,,,,,,,,,,,,,,,,,,
248,,,太拔镇,18900,崇厦村,,,,,,,,,,,,,,,,,,,
249,,,,,田增村,,,,,,,,,,,,,,,,,,,
250,,,,,罗坑村,,,,,,,,,,,,,,,,,,,
251,,,,,太拔村,,,,,,,,,,,,,,,,,,,
252,,,,,丘辉村,,,,,,,,,,,,,,,,,,,
253,,,,,院田村,,,,,,,,,,,,,,,,,,,
254,,,,,大坑村,,,,,,,,,,,,,,,,,,,
255,,,,,彩霞村,,,,,,,,,,,,,,,,,,,
256,,,,,张芬村,,,,,,,,,,,,,,,,,,,
257,,,,,鲜水坑村,,,,,,,,,,,,,,,,,,,
258,,,,,双康村,,,,,,,,,,,,,,,,,,,
259,,,,,梓东村,,,,,,,,,,,,,,,,,,,
260,,,,,大地村,,,,,,,,,,,,,,,,,,,
261,,,,,上村村,,,,,,,,,,,,,,,,,,,
262,,,,,黄家村,,,,,,,,,,,,,,,,,,,
263,,,,,寨背山村,,,,,,,,,,,,,,,,,,,
264,,,通贤镇,20300,上村村,,,,,,,,,,,,,,,,,,,
265,,,,,通贤村,,,,,,,,,,,,,,,,,,,
266,,,,,培才村,,,,,,,,,,,,,,,,,,,
267,,,,,周源村,,,,,,,,,,,,,,,,,,,
268,,,,,曹邱村,,,,,,,,,,,,,,,,,,,
269,,,,,东里村,,,,,,,,,,,,,,,,,,,
270,,,,,大东村,,,,,,,,,,,,,,,,,,,
271,,,,,岭头村,,,,,,,,,,,,,,,,,,,
272,,,,,文坑村,,,,,,,,,,,,,,,,,,,
273,,,,,秀坑村,,,,,,,,,,,,,,,,,,,
274,,,,,礤头村,,,,,,,,,,,,,,,,,,,
275,,,,,障云村,,,,,,,,,,,,,,,,,,,
276,,,,,汉溪村,,,,,,,,,,,,,,,,,,,
277,,,下都镇,11300,保安村,,,,,,,,,,,,,,,,,,,
278,,,,,和睦村,,,,,,,,,,,,,,,,,,,
279,,,,,砂睦村,,,,,,,,,,,,,,,,,,,
280,,,,,象栏村,,,,,,,,,,,,,,,,,,,
281,,,,,佛坑村,,,,,,,,,,,,,,,,,,,
282,,,,,吉安村,,,,,,,,,,,,,,,,,,,
283,,,,,五丰村,,,,,,,,,,,,,,,,,,,
284,,,,,新寨村,,,,,,,,,,,,,,,,,,,
285,,,,,豪康村,,,,,,,,,,,,,,,,,,,
286,,,,,璜溪村,,,,,,,,,,,,,,,,,,,
287,,,,,三益村,,,,,,,,,,,,,,,,,,,
288,,,茶地镇,9000,千龙村,,,,,,,,,,,,,,,,,,,
289,,,,,久泰村,,,,,,,,,,,,,,,,,,,
290,,,,,大燮村,,,,,,,,,,,,,,,,,,,
291,,,,,高屋村,,,,,,,,,,,,,,,,,,,
292,,,,,官山村,,,,,,,,,,,,,,,,,,,
293,,,,,茶地村,,,,,,,,,,,,,,,,,,,
294,,,,,调和村,,,,,,,,,,,,,,,,,,,
295,,,,,下科村,,,,,,,,,,,,,,,,,,,
296,,,,,樟树村,,,,,,,,,,,,,,,,,,,
297,,,,,翁基村,,,,,,,,,,,,,,,,,,,
298,,,,,竹马村,,,,,,,,,,,,,,,,,,,
299,,,,,上连科村,,,,,,,,,,,,,,,,,,,
300,,,,,下连科村,,,,,,,,,,,,,,,,,,,
301,,,庐丰畲族乡,13360,章金村,,,,,,,,,,,,,,,,,,,
302,,,,,上坊村,,,,,,,,,,,,,,,,,,,
303,,,,,中坊村,,,,,,,,,,,,,,,,,,,
304,,,,,下坊村,,,,,,,,,,,,,,,,,,,
305,,,,,立英村,,,,,,,,,,,,,,,,,,,
306,,,,,丰康村,,,,,,,,,,,,,,,,,,,
307,,,,,丰乐村,,,,,,,,,,,,,,,,,,,
308,,,,,丰济村,,,,,,,,,,,,,,,,,,,
309,,,,,扶洋村,,,,,,,,,,,,,,,,,,,
310,,,,,铁峰村,,,,,,,,,,,,,,,,,,,
311,,,,,太古村,,,,,,,,,,,,,,,,,,,
312,,,,,黄坊村,,,,,,,,,,,,,,,,,,,
313,,,,,横岗村,,,,,,,,,,,,,,,,,,,
314,,,,,三坪村,,,,,,,,,,,,,,,,,,,
315,,,泮境乡,6300,彩霞村,,,,,,,,,,,,,,,,,,,
316,,,,,泮境村,,,,,,,,,,,,,,,,,,,
317,,,,,祖加村,,,,,,,,,,,,,,,,,,,
318,,,,,院康村,,,,,,,,,,,,,,,,,,,
319,,,,,乌石村,,,,,,,,,,,,,,,,,,,
320,,,,,定达村,,,,,,,,,,,,,,,,,,,
321,,,,,元康村,,,,,,,,,,,,,,,,,,,
322,,,官庄畲族乡,30000,上濯村,,,,,,,,,,,,,,,,,,,
323,,,,,下濯村,,,,,,,,,,,,,,,,,,,
324,,,,,蕉坑村,,,,,,,,,,,,,,,,,,,
325,,,,,龙牌村,,,,,,,,,,,,,,,,,,,
326,,,,,龙角村,,,,,,,,,,,,,,,,,,,
327,,,,,红石村,,,,,,,,,,,,,,,,,,,
328,,,,,回龙村,,,,,,,,,,,,,,,,,,,
329,,,,,朱堡村,,,,,,,,,,,,,,,,,,,
330,,,,,官庄村,,,,,,,,,,,,,,,,,,,
331,,,,,福泉村,,,,,,,,,,,,,,,,,,,
332,,,,,贵和村,,,,,,,,,,,,,,,,,,,
333,,,,,新风村,,,,,,,,,,,,,,,,,,,
334,,,,,七里村,,,,,,,,,,,,,,,,,,,
335,,,,,璜头村,,,,,,,,,,,,,,,,,,,
336,,,,,德康村,,,,,,,,,,,,,,,,,,,
337,,,,,树人村,,,,,,,,,,,,,,,,,,,
338,,,,,新民村,,,,,,,,,,,,,,,,,,,
339,,,,,曾泗村,,,,,,,,,,,,,,,,,,,
340,,,珊瑚乡,7800,华竹村,,,,,,,,,,,,,,,,,,,
341,,,,,上珊瑚村,,,,,,,,,,,,,,,,,,,
342,,,,,下珊瑚村,,,,,,,,,,,,,,,,,,,
343,,,,,下坑村,,,,,,,,,,,,,,,,,,,
344,,,,,彩坑村,,,,,,,,,,,,,,,,,,,
345,,武平县,平川街道,86386,河东社区,,,,,,,,,,,,,,,,,,,
346,,,,,河西社区,,,,,,,,,,,,,,,,,,,
347,,,,,南门社区,,,,,,,,,,,,,,,,,,,
348,,,,,东城社区,,,,,,,,,,,,,,,,,,,
349,,,,,西城社区,,,,,,,,,,,,,,,,,,,
350,,,,,七坊社区,,,,,,,,,,,,,,,,,,,
351,,,,,红东社区,,,,,,,,,,,,,,,,,,,
352,,,,,西厢社区,,,,,,,,,,,,,,,,,,,
353,,,,,兴南社区,,,,,,,,,,,,,,,,,,,
354,,,,,城南社区,,,,,,,,,,,,,,,,,,,
355,,,,,西门社区,,,,,,,,,,,,,,,,,,,
356,,,,,北城社区,,,,,,,,,,,,,,,,,,,
357,,,中山镇,18144,三联村,,,,,,,,,,,,,,,,,,,
358,,,,,龙济村,,,,,,,,,,,,,,,,,,,
359,,,,,卦坑村,,,,,,,,,,,,,,,,,,,
360,,,,,阳民村,,,,,,,,,,,,,,,,,,,
361,,,,,太平村,,,,,,,,,,,,,,,,,,,
362,,,,,新城村,,,,,,,,,,,,,,,,,,,
363,,,,,城中村,,,,,,,,,,,,,,,,,,,
364,,,,,老城村,,,,,,,,,,,,,,,,,,,
365,,,,,上峰村,,,,,,,,,,,,,,,,,,,
366,,,,,上岭村,,,,,,,,,,,,,,,,,,,
367,,,,,武溪村,,,,,,,,,,,,,,,,,,,
368,,,岩前镇,36220,跃进烟场社区,,,,,,,,,,,,,,,,,,,
369,,,,,灵岩村,,,,,,,,,,,,,,,,,,,
370,,,,,大布村,,,,,,,,,,,,,,,,,,,
371,,,,,将军村,,,,,,进村路遭到山体堵塞,,,,,,,,,视频号,,,康子,2024/06/20/16：27
372,,,,,东峰村,,,,,,,,,,,,,,,,,,,
373,,,,,迳田村,,,,,,,,,,,,,,,,,,,
374,,,,,上墩村,,,,,,,,,,,,,,,,,,,
375,,,,,伏虎村,,,,,,,,,,,,,,,,,,,
376,,,,,三河村,,,,,,,,,,,,,,,,,,,
377,,,,,宁洋村,,,,,,,,,,,,,,,,,,,
378,,,,,和安村,,,,,,,,,,,,,,,,,,,
379,,,,,洋坑村,,,,,,,,,,,,,,,,,,,
380,,,,,龙井村,,,,,,,,,,,,,,,,,,,
381,,,,,双坊村,,,,,,,,,,,,,,,,,,,
382,,,,,峰贵村,,,,,,,,,,,,,,,,,,,
383,,,,,杨梅村,,,,,,,,,,,,,,,,,,,
384,,,,,澄邦村,,,,,,,,,,,,,,,,,,,
385,,,十方镇,39981,乐畲村,,,,,,,,,,,,,,,,,,,
386,,,,,彭寨村,,,,,,,,,,,,,,,,,,,
387,,,,,熊新村,,,,,,,,,,,,,,,,,,,
388,,,,,高梧村,,,,,,,,,,,,,,,,,,,
389,,,,,黎畲村,,,,,,,,,,,,,,,,,,,
390,,,,,黎明村,,,,,,,,,,,,,,,,,,,
391,,,,,十方村,,,,,,,,,,,,,,,,,,,
392,,,,,三坊村,,,,,,,,,,,,,,,,,,,
393,,,,,白土村,,,,,,,,,,,,,,,,,,,
394,,,,,来福村,,,,,,,,,,,,,,,,,,,
395,,,,,中和村,,,,,,,,,,,,,,,,,,,
396,,,,,和平村,,,,,,,,,,,,,,,,,,,
397,,,,,处明村,,,,,,,,,,,,,,,,,,,
398,,,,,梅坑村,,,,,,,,,,,,,,,,,,,
399,,,,,叶坑村,,,,,,,,,,,,,,,,,,,
400,,,,,丘坑村,,,,,,,,,,,,,,,,,,,
401,,,,,鲜南村,,,,,,,,,,,,,,,,,,,
402,,,,,鲜水村,,,,,,,,,,,,,,,,,,,
403,,,,,集贤村,,,,,,,,,,,,,,,,,,,
404,,,中堡镇,28300,岭头村,,,,,,,,,,,,,,,,,,,
405,,,,,下村村,,,,,,,,,,,,,,,,,,,
406,,,,,悦洋村,,,,,,,,,,,,,,,,,,,
407,,,,,芳洋村,,,,,,,,,,,,,,,,,,,
408,,,,,上济村,,,,,,,,,,,,,,,,,,,
409,,,,,小岭村,,,,,,,,,,,,,,,,,,,
410,,,,,远富村,,,,,,,,,,,,,,,,,,,
411,,,,,乌石村,,,,,,,,,,,,,,,,,,,
412,,,,,朱坊村,,,,,,,,,,,,,,,,,,,
413,,,,,中堡村,,,,,,,,,,,,,,,,,,,
414,,,,,田坑村,,,,,,,,,,,,,,,,,,,
415,,,,,大吉村,,,,,,,,,,,,,,,,,,,
416,,,,,大坪村,,,,,,,,,,,,,,,,,,,
417,,,,,罗助村,,,,,,,,,,,,,,,,,,,
418,,,,,互助村,,,,,,,,,,,,,,,,,,,
419,,,,,梧地村,,,,,,,,,,,,,,,,,,,
420,,,,,朝岭村,,,,,,,,,,,,,,,,,,,
421,,,,,林坊村,,,,,,,,,,,,,,,,,,,
422,,,,,章丰村,,,,,,,,,,,,,,,,,,,
423,,,,,新湖村,,,,,,,,,,,,,,,,,,,
424,,,,,新化村,,,,,,,,,,,,,,,,,,,
425,,,桃溪镇,24000,桃溪村,,,,,,,,,,,,,,,,,,,
426,,,,,新礤村,,,,,,,,,,,,,,,,,,,
427,,,,,亭头村,,,,,,,,,,,,,,,,,,,
428,,,,,田雁村,,,,,,,,,,,,,,,,,,,
429,,,,,新田村,,,,,,,,,,,,,,,,,,,
430,,,,,江坑村,,,,,,,,,,,,,,,,,,,
431,,,,,鲁溪村,,,,,,,,,,,,,,,,,,,
432,,,,,新贡村,,,,,,,,,,,,,,,,,,,
433,,,,,湘溪村,,,,,,,,,,,,,,,,,,,
434,,,,,湘坑村,,,,,,,,,,,,,,,,,,,
435,,,,,洋畲村,,,,,,,,,,,,,,,,,,,
436,,,,,湘里村,,,,,,,,,,,,,,,,,,,
437,,,,,小澜村,,,,,,,,,,,,,,,,,,,
438,,,,,新华村,,,,,,,,,,,,,,,,,,,
439,,,,,新兰村,,,,,,,,,,,,,,,,,,,
440,,,城厢镇,31913,梁野社区,,,,,,,,,,,,,,,,,,,
441,,,,,香樟社区,,,,,,,,,,,,,,,,,,,
